title,description,primary_instructor,subject,catalog_number,label_term,section,sub_title,credits,requirements_distribution,other,consent,advisory_prerequisites,other_course_info,repeatability
"Gender and Immigration:  Identity, Race, and Place"," Refugees, migrants, immigrants, diaspora groups, and transnational actors are all terms that describe people who undertake different acts of mobility or travel across borders to seek refuge. But how are these terms different? This course focuses on these various acts of mobility to show how they are labeled differently under different political and social circumstances. We examine the gendered cultural and political meanings people and governments give to mobility, border-crossing, and displacement in this turbulent time in the era of globalization and transnationalism.

 

In this course we will also emphasize the experiences of both old and new generations of immigrants in order to understand the historical context of migration, globalization, and the processes involved in the imagination of place and nation building. One important lesson that students learn in this class is that the political processes that define the often-conflated meanings attached to the refugee, immigrant, and diaspora population cannot be divorced from histories of nationalism and transnationalism and their deeply rooted constructions in gender, race, ethnic, and class relations. Race, ethnicity, and sexism are significant components, and the course addresses them through cross-cultural ethnographies, media reports, documentary films, art, and other texts to explain how citizens and non-citizens are marked differently based on both legal and cultural terminologies.

 

Students also learn that systems of racialization and discrimination don’t just happen at the moment of border-crossing or when refugees, migrants, and diaspora populations settle in new homelands; these modes of exclusion are also experienced in various forms in their countries of origin. Some of the forces that lead to situations of refugee-ness, migration, and dispersal include religious, ethnic, gender, racial, and political discrimination encountered at home.  The course examines the different forms of these discriminations and how refugee, immigrant, and diaspora communities encounter them, live them, negotiate them, and resist them through their own cultural practices and other strategies of activism.

 

We will particularly explore how questions of power, race, and class intersect to shape refugees and immigrants’ daily struggles for justice and human rights. How do refugees and immigrants attempt to create and “imagine” their own social world with reference to their new locations and their homelands? Our readings and discussion will focus on cultural and theoretical perspectives from the social sciences, specifically anthropology, history, and literature.  And we will take as examples the ethnographies and narratives of immigrants from different parts of the world, specifically Africa, Asia, Latin America, and the Middle East. The seminar is intended for junior and senior undergraduates but sophomores are also welcome.","Fadlalla,Amal Hassan",AAS,304,"Winter 2022, ",Section 001," - Refugees of Unjust Worlds: Globalization, Gender and Nation",3,SS,,,The seminar is intended for junior and senior undergraduates but sophomores are also welcome.,,May not be repeated for credit.
Advanced Swahili II,"This course assumes higher proficiency in the written and spoken. It enables students to gain a deeper understanding of the language through reading, analyzing and interpreting complex thoughts, issues and ideas in literature written in Kiswahili by African writers.","Mpesha,Nyambura",AAS,316,"Winter 2022, ",Section 001,,3,,,,AAS 315.,,May not be repeated for credit.
"Threads: What Does Clothing Have to Do with Race, Culture, Politics, and the Environment?","You get dressed every day, but how often do you stop to consider questions such as the following?","Sweeney,Megan L",AAS,317,"Winter 2022, ",Section 001,,3,HU,,,,,May not be repeated for credit.
Black Feminist Thought and Practice,"What is Black Feminism? In this course, we will explore the history of Black women’s gendered and racial politics in the United States and, in particular, how their beliefs and experiences have differed from other groups. How have Black women pushed back against and attempted to reshape traditional, Eurocentric, “white feminist” politics? How have Black Feminist responses to racism diverged from and challenged mainstream and Black masculinist political scripts? We will explore these questions as well as representations of Black women’s sexuality and political activism. Course readings are drawn from a variety of disciplines and time periods with the goal of exposing students to the history of Black Feminist thought and the breadth of Black Feminist scholarship, activism, and methodologies. By the end of the semester, students will be conversant in the major concepts of Black Feminism and Black Women’s Studies and have developed the analytical tools to understand how race, gender, and class interact to produce the unique experiences of Black women in the United States.","Strongman,Saraellen",AAS,323,"Winter 2022, ",Section 001,,3,HU,,,,,May not be repeated for credit.
Advanced Yoruba II,"A heightened spin-off of Intermediate Yoruba, this course enables students to gain an Advanced understanding of the Yoruba language through reading, analyzing and interpreting complex thoughts, issues and ideas in literature written in Yoruba by African writers. In addition, students perform other linguistically advanced tasks, such as expressing their feelings, seeking the opinion of others, giving advice and describing their health. As with beginning and intermediate Yoruba, culture is introduced and incorporated through lectures, field exercises and interactions.","Ayoola,Gabriel Olujide",AAS,326,"Winter 2022, ",Section 001,,4,,,,,,May not be repeated for credit.
Hip Hop Africa,"We shall examine the history of hip hop in Africa, the artists, musical expressions and elements as well as the socio-political and economic issues it engenders. The course will examine the range of hip hop and rap music from Ghana, Nigeria, Senegal, and Kenya.","Ampene,Kwasi",AAS,342,"Winter 2022, ",Section 001,,3,HU,,,,,May not be repeated for credit.
Urban Ethnography and the Black Experience,"In Yo Mama's Disfunktional, leading Black historian Robin Kelley criticizes what he calls ""the heyday of ghetto ethnography"" - a period between the 1960s and late 1980s when representations of urban Black culture proliferated. Kelley argues that with few exceptions, insufficiently complex representations of Black life detrimentally shaped public policy, scholarship and social movements. Ironically, the liberal (and sometimes radical) ethnographers who produced this work sought to put forth a counter-view of Black people as respectable, rational, resilient and capable, in hopes of correcting neoconservative explanations of persistent black poverty as rooted in inferior culture. Since the heyday, Kelley and others have charted new urban ethnographic approaches that attempt to address some of the shortcomings of the past, by drawing attention to: historical processes of systemic oppression, sites of creativity and political organization, the heterogeneity of Black identity, the politics of activist ethnography and the meaning of cultural forms to their participants and practitioners. This course will introduce students to the U.S. Black, Black-feminist and urban anthropological traditions, with a focus on the use of ethnographic methods to attempt to revise traditional disciplinary standards of evidence, ethics and approach. In doing so, the course aims to expand students' understanding of the foundations and scope of anthropological thought and method and to hone the ability to critically evaluate representations of Black perspectives and experiences.","Burch,Melissa",AAS,353,"Winter 2022, ",Section 001,,3,SS,,,,,May not be repeated for credit.
Topics in Black World Studies,How does one exhibit African art? What does it mean to represent Africa and Africans in the art museum? How do such representations shape perceptions of the continent? Is exhibiting African art any different than exhibiting art from other parts of the world?,"Wilson,Robin M",AAS,358,"Winter 2022, ",Section 001, - Africanist Dance Traditions: From Minstrelsy to Hip Hop,3,,,With permission of department.,,,May be repeated for a maximum of 6 credit(s).  
Topics in Black World Studies,"Selected topics in Black World Studies which focus on introduction to Africa, to the Caribbean, to North America, and to South America.  Specific focus is determined by instructor and indicated in the current Schedule of Classes.","Walker, Jessica Kenyatta",AAS,358,"Winter 2022, ",Section 008, - Black Food in Popular Culture,3,HU,,,,,May be repeated for a maximum of 6 credit(s).  
Topics in Black World Studies,"This course will explore the position of Africa in an Atlantic framework of the history of religion. The Atlantic Ocean connected various societies through vast transoceanic networks. In recent decades, scholars have argued that these Atlantic societies should constitute a single category of scholarly analysis. Gilroy (1993) argued, more specifically, that populations with origins on the African continent inevitably share in transoceanic cultural modes and repertoires of discourse. What role does religion play in Africa’s Atlantic world? How did internal African religious discourses shape devotion across the Atlantic? How have trans-Atlantic religious traditions, in turn, shaped Africa?","Deese,Adrian",AAS,358,"Winter 2022, ",Section 013, - Modern Nigeria: Giant of Africa,3,,,,,,May be repeated for a maximum of 6 credit(s).  
Topics in Black World Studies,"Selected topics in Black World Studies which focus on introduction to Africa, to the Caribbean, to North America, and to South America.  Specific focus is determined by instructor and indicated in the current Schedule of Classes.","Fadlalla,Amal Hassan",AAS,358,"Winter 2022, ",Section 014, - Med. Anthropologies of Kinship,3,,,,,,May be repeated for a maximum of 6 credit(s).  
Topics in Black World Studies,"Selected topics in Black World Studies which focus on introduction to Africa, to the Caribbean, to North America, and to South America.  Specific focus is determined by instructor and indicated in the current Schedule of Classes.","Wells,Jonathan Daniel",AAS,358,"Winter 2022, ",Section 015, - African Am Hist thrgh Film/Lit,3,,,,,,May be repeated for a maximum of 6 credit(s).  
Topics in Black World Studies,"The sweeping drama of apartheid – a system legislating the separation of people on the basis of skin color – dominates the history of modern South Africa. Race and racial difference infiltrated every aspect of South Africans’ lives throughout the 20th century, informing the nature of politics as well as the experiences of daily life. But out of the prolonged struggle to end white supremacist rule also emerged some of the greatest leaders and thinkers of our time. 

This course traces the origins of apartheid, its institutionalization in the Republic of South Africa, and the battle to dismantle it in the later 20th century. We will examine the political ideology and mythology of white supremacy, and the propagation of racism in law, culture, labor, and education. The class also follows resistance to apartheid, from the formation of the African National Congress (the party of Nelson Mandela), to the resurgence of the Zulu kingdom, to the use of music, religion, philosophy, public activism, and violence as forms of opposition.","Jimenez,Raevin",AAS,358,"Winter 2022, ",Section 016, - Modern S Africa,3,,,,,,May be repeated for a maximum of 6 credit(s).  
Topics in Black World Studies,"Selected topics in Black World Studies which focus on introduction to Africa, to the Caribbean, to North America, and to South America.  Specific focus is determined by instructor and indicated in the current Schedule of Classes.","Pearson,Benjamin",AAS,358,"Winter 2022, ",Section 017, - African Digital Cultures,3,,,,,,May be repeated for a maximum of 6 credit(s).  
Expressive Cultures of the Black Atlantic:  Vision and Time,"This is a reading-intensive course that spans a wide range of Black Atlantic cultures by focusing on the roles of visual arts and performance in the production of historical memory. 

In this course we will examine a diversity of Black Atlantic visual cultures, both in Africa and in the Diaspora, with a focus on how historical memory and the experience of the passage of time are articulated in objects and performances. What, for example, are the poetics of trying to reclaim historical “African” origins when such a reconstruction is by definition impossible? The idea of allegory will run strongly through the course: the mourning of lost “ancient” wholeness marked also by the enduring hope that fragments of the past can be reassembled to redeem the present. This is not to say that the people whose lives and works we will discuss here are abjectly “living in the past”—though this very misconception has been rehearsed often in museum exhibitions devoted to the objectifying study of “Other” cultures. We will concentrate on the ways in which the realities of a shifting present are addressed throughout the African Diaspora: in struggle, in celebration, and always in movement. Topics will include the construction of ritual altars in Haiti and Cuba; the carnival arts of Brazil, New Orleans and Trinidad; the sculpting of memory in recycled objects in the American South and in the sonic spaces of hip-hop; and other phenomena. Course Requirements:Student performance will be based heavily on weekly reading summaries and participation in classroom discussion. Each student also will be responsible for a class presentation of one week’s readings. A final project will consist of a “performance” that will synthesize the semester’s material in a way unique to each student. This may be in the form of a lecture, a film or video, a website, an interactive sculpture, among other possibilities. This project will also include a written component. Intended Audience:The course is intended for advanced students with diverse academic interests: religion, performance studies, anthropology, Atlantic studies. Concentrators in African and African-American studies, music, and History of Art are especially welcome. Class Format:3 hours per week, seminar meetings, no GSI involvement. ","Doris,David T",AAS,362,"Winter 2022, ",Section 001,,3,,,,HISTART 208/AAS 208 and upperclass standing.,,May not be repeated for credit.
Africanist Dance Traditions: From Minstrelsy to Hip Hop,"This course explores this relationship between African-American vernacular dance forms and 20th century American popular and concert performance, as well as the socio-cultural conditions that contributed to their creation and their continued impact on American dance and culture.","Wilson,Robin M",AAS,367,"Winter 2022, ",Section 001,,3,,,,,,May not be repeated for credit.
Black Arts Matter: Black Women Performers and Politics,"This course will focus on how Black women performers, from Billie Holiday to Beyonce, have articulated visions of freedom for Black Americans in their art and been supporters of African American political causes more broadly.","Strongman,Saraellen",AAS,371,"Winter 2022, ",Section 001,,3,HU,,,,,May not be repeated for credit.
Readings in African American Literature,"In this course we will study African American literature written after the abolition of slavery (1865), covering African American history from the late nineteenth century period known as the ""nadir"" (lowest point), through the early 20th century moment that gave birth to the ""New Negro"" of the Harlem Renaissance (1920s). The writers from this period expressed both pessimism about post-Civil War racial violence in the US and optimism about African Americans' new opportunities for civic and cultural legitimacy.  Their novels, short stories, prose and poetry demonstrate that African American writers saw literature as critical to shaping ongoing national debates about freed people’s rights to citizenship.  We will explore  how black writers depicted differences within black communities through dialect, invocations of the “folk” and assertions of a ""new negro"" in their efforts to craft new political forms of racial identity at a time that was supposed to harbor great promise for ""freedmen"" (formerly enslaved individuals) and their descendants.  In our studies we will try to answer a key question:  How did African American writers respond to the rise of Jim Crow and the racial violence that established white supremacy in the South? And, more importantly, what do those responses from the past tell us about our racial justice/injustice in our present?","Santamarina,Xiomara A",AAS,374,"Winter 2022, ",Section 001, - Black Writers Respond: Late Nineteenth and Early Twentieth Century African American Literature,3,HU,,,,,May be repeated for a maximum of 6 credit(s).  
Are We Not Men?: Masculinity in African American Expressive Cultures,"This course explores ""masculinity"" in African American literature and popular culture. Drawing on film, music, literature, and analytical frameworks such as queer theory, feminist theory, and critical race theory, we consider intersections of race, sexuality, and class and explore how ""masculinity"" circulates in popular culture and everyday discourses about ""blackness.""","Poulson-Bryant,Scott",AAS,383,"Winter 2022, ",Section 001,,3,HU,,,,,May not be repeated for credit.
Caribbean Literature,"This Race & Ethnicity course introduces students to the literary works of 20th and 21st-century women writers of the Caribbean, focusing on countries including Haiti, Jamaica, and Trinidad, and diasporic Caribbean communities in the U.S., Canada, and the United Kingdom. Novels, short stories, and poems are accompanied by essays and films that examine race, feminism, and intersectional theories of gender, ethnicity, class, and sexuality in the contemporary Caribbean.","Khan,Aliyah R",AAS,384,"Winter 2022, ",Section 001, - Caribbean Women Writers,3,"HU, RE",,,AAS 202.,,May be repeated for a maximum of 6 credit(s).  
"Mad, Bad, and Sad: Mental Health in the U.S.","This course focuses on the historical and cultural context of mental health in the U.S. It covers an array of topics including phrenology, hysteria, faith, prisons, suicide, 19th-century asylums and mental health practices in higher education settings with critical attention to intersections with race, gender, and class. Focusing heavily, although not exclusively, on the experiences of African Americans, this course includes both academic readings and creative works (literature and film, for example). Some readings focus directly on mental health and others provide context for understanding mental health issues.","Louis,Diana Martha",AAS,392,"Winter 2022, ",Section 001,,3,HU,,,,,May not be repeated for credit.
Germany and the Black Diaspora,"Taught in conjunction with University College London and the University of Missouri, this course explores global Black histories in an unlikely place: German-speaking Europe. This course is timely, too: as African migrants make the dangerous passage by ship to Europe to plead asylum in Germany and more neo-Nazi hate crimes take place, more public conversations in Central Europe are addressing what it means to have Black people on German lands. But students in this class will learn that people of African descent have always been a part of Central European history. From Black saint iconography in medieval churches to entertainers such as Josephine Baker or Beyoncé in Berlin, Germans have long engaged with and responded to Black figures in European history. In so doing, they have participated in global conversations on nationalism, colonialism, race, and gender. Students in this class will learn to think about Germany’s Black pasts in general and Afro-German history specifically while also developing their skills as digital humanists: together we will use blogs, learn digital mapping technologies, and curate an online digital museum exhibit to think about the humanities in the 21st centuries. Students will also collaborate closely with students at University College London and the University of Missouri on these projects. By working with peers on two continents and on three different campuses, students will engage deeply with questions of national identity, race, culture, and diaspora in the 19th and 20th centuries.","Thurman,Kira",AAS,395,"Winter 2022, ",Section 001,,3,"HU, RE",,,,,May not be repeated for credit.
African Economies: Social and Political Settings,"The focus of the class is to examine and understand the origins and nature of economic and social development in Africa including an evaluation of the patterns of recent economic growth. In addition to exploring historical dimensions, the course will focus on a number of current issues related to the challenges of development including managing resource exploitation, the impact of China on Africa, problems associated with climate change and the relationship between health and development.","Stein,Howard",AAS,408,"Winter 2022, ",Section 001,,3,,,,AAS 200.,,May not be repeated for credit.
