course,description,experience_type
"Anatomy: Gastrointestinal, Reproductive and Endocrine Systems","<p>In this anatomy course, part of the Anatomy XSeries, you’ll learn about the various digestive, endocrine, and reproductive organs, their functions, and pathways of nerves and blood vessels serving these organs. Clinical correlations and vignettes will be used to highlight the importance of these anatomical structures and their relationships. Images and videos from cadaveric and artistic materials will be used to illustrate these concepts.</p>",course
"Anatomy: Gastrointestinal, Reproductive, and Endocrine Systems","<h2 id=""enhance-your-understanding-of-how-the-human-body-works"">Enhance your understanding of how the human body works</h2>

<p>On this course, you’ll gain a fascinating insight into the anatomy of our digestive, endocrine, and reproductive organs. As well as exploring their functions, you’ll discover the pathways of nerves and blood vessels that serve these organs.</p>

<p>Using clinical correlations and vignettes, you’ll find out about the importance of each of the systems’ anatomical structures and the relationship of each system to each other.</p>

<p>To illustrate these concepts, you’ll see images and videos from both cadaveric and artistic materials.</p>

<p>This course is designed for high school and new college and university students interested in the medical field.</p>

<p>It will also be of interest to adults looking for a career change into a health profession, as well as anyone looking to improve their understanding of the human body.</p>

",course
Anatomy: Human Neuroanatomy,"In this anatomy course, part of the Anatomy Specialization, you will be introduced to the central and peripheral nervous systems. You will learn about basic neuroanatomy, sensory pathways, motor pathways and the autonomic nervous system.

The course includes illustrated lecture videos and quizzes to help you expand and test your knowledge of the nervous system.

By the end of this course, you will have a better understanding of how the entire body influences, and is influenced, by the nervous system.",course
Anatomy: Human Neuroanatomy,"<p>In this anatomy course, part of the Anatomy XSeries, you will be introduced to the central and peripheral nervous systems. You will learn about basic neuroanatomy, sensory pathways, motor pathways and the autonomic nervous system.</p>
<p>The course includes illustrated lecture videos and quizzes to help you expand and test your knowledge of the nervous system.</p>
<p>By the end of this course, you will have a better understanding of how the entire body influences, and is influenced, by the nervous system.</p>",course
Anatomy: Human Neuroanatomy,"<h2 id=""expand-your-knowledge-of-the-nervous-system"">Expand your knowledge of the nervous system</h2>

<p>On this course, you’ll be introduced to the central and peripheral nervous systems.</p>

<p>Through a series of illustrated lecture videos and quizzes, you’ll explore basic neuroanatomy, as well as sensory pathways, motor pathways and the autonomic nervous system.</p>

<p>By the end of this course, you’ll have a more thorough understanding of how the entire body influences, and is influenced, by the nervous system.</p>

<p>This course is designed for high school and new college and university students interested in the medical field.</p>

<p>It will also be of interest to adults looking for a career change into a health profession, as well as anyone looking to improve their understanding of the human body.</p>

",course
Anatomy: Musculoskeletal and Integumentary Systems,"In this anatomy course, part of the Anatomy Specialization, you will learn how the components of the integumentary system help protect our body (epidermis, dermis, hair, nails, and glands), and how the musculoskeletal system (bones, joints, and skeletal muscles) protects and allows the body to move.

You will engage with fascinating videos, lectures, and anatomical visual materials (illustrations and cadaveric images) to learn about these properties and functions.",course
Anatomy: Musculoskeletal and Integumentary Systems,"<p>In this anatomy course, part of the Anatomy XSeries, you will learn how the components of the integumentary system help protect our body (epidermis, dermis, hair, nails, and glands), and how the musculoskeletal system (bones, joints, and skeletal muscles) protects and allows the body to move.</p>
<p>You will engage with fascinating videos, lectures, and anatomical visual materials (illustrations and cadaveric images) to learn about these properties and functions.</p>",course
Anatomy: Musculoskeletal and Integumentary Systems,"<h2 id=""deepen-your-understanding-of-the-human-musculoskeletal-and-integumentary-system"">Deepen your understanding of the human musculoskeletal and integumentary system</h2>

<p>On this course, you’ll learn how the components of the integumentary system (the epidermis, dermis, hair, nails, and glands) help protect our body.</p>

<p>You’ll also discover how the musculoskeletal system (bones, joints, and skeletal muscles) protect and allow the body to move.</p>

<p>Through fascinating videos, lectures, and anatomical visual materials, including illustrations and cadaveric images, you’ll learn in fascinating detail about the properties and functions of these systems.</p>

<p>This course is designed for high school and new college and university students interested in the medical field.</p>

<p>It will also be of interest to adults looking for a career change into a health profession, as well as anyone looking to improve their understanding of the human body.</p>

",course
Applied Machine Learning in Python,"This course will introduce the learner to applied machine learning, focusing more on the techniques and methods than on the statistics behind these methods. The course will start with a discussion of how machine learning is different than descriptive statistics, and introduce the scikit learn toolkit through a tutorial. The issue of dimensionality of data will be discussed, and the task of clustering data, as well as evaluating those clusters, will be tackled. Supervised approaches for creating predictive models will be described, and learners will be able to apply the scikit learn predictive modelling methods while understanding process issues related to data generalizability (e.g. cross validation, overfitting). The course will end with a look at more advanced techniques, such as building ensembles, and practical limitations of predictive models. By the end of this course, students will be able to identify the difference between a supervised (classification) and unsupervised (clustering) technique, identify which technique they need to apply for a particular dataset and need, engineer features to meet that need, and write python code to carry out an analysis. 

This course should be taken after Introduction to Data Science in Python and Applied Plotting, Charting & Data Representation in Python and before Applied Text Mining in Python and Applied Social Analysis in Python.",course
"Applied Plotting, Charting & Data Representation in Python","This course will introduce the learner to information visualization basics, with a focus on reporting and charting using the matplotlib library. The course will start with a design and information literacy perspective, touching on what makes a good and bad visualization, and what statistical measures translate into in terms of visualizations. The second week will focus on the technology used to make visualizations in python, matplotlib, and introduce users to best practices when creating basic charts and how to realize design decisions in the framework. The third week will be a tutorial of functionality available in matplotlib, and demonstrate a variety of basic statistical charts helping learners to identify when a particular method is good for a particular problem. The course will end with a discussion of other forms of structuring and visualizing data. 

This course should be taken after Introduction to Data Science in Python and before the remainder of the Applied Data Science with Python courses: Applied Machine Learning in Python, Applied Text Mining in Python, and Applied Social Network Analysis in Python.",course
Applied Social Network Analysis in Python,"This course will introduce the learner to network analysis through tutorials using the NetworkX library. The course begins with an understanding of what network analysis is and motivations for why we might model phenomena as networks. The second week introduces the concept of connectivity and network robustness. The third week will explore ways of measuring the importance or centrality of a node in a network. The final week will explore the evolution of networks over time and cover models of network generation and the link prediction problem. 

This course should be taken after: Introduction to Data Science in Python, Applied Plotting, Charting & Data Representation in Python, and Applied Machine Learning in Python.",course
Applied Text Mining in Python,"This course will introduce the learner to text mining and text manipulation basics. The course begins with an understanding of how text is handled by python, the structure of text both to the machine and to humans, and an overview of the nltk framework for manipulating text. The second week focuses on common manipulation needs, including regular expressions (searching for text), cleaning text, and preparing text for use by machine learning processes. The third week will apply basic natural language processing methods to text, and demonstrate how text classification is accomplished. The final week will explore more advanced methods for detecting the topics in documents and grouping them by similarity (topic modelling). 

This course should be taken after: Introduction to Data Science in Python, Applied Plotting, Charting & Data Representation in Python, and Applied Machine Learning in Python.",course
Arts & Technology Teach-Out,"<p>Arts and technology have developed hand-in-hand throughout history. From the invention of instruments and musical notation to the printing press, technology has always enhanced society’s ability to create, distribute, and consume art. We are currently living in a time of rapid technological advancements, specifically around human-computer interaction, which is transforming how art and technology intersect. For the first time in our history, creators are able to distribute their work in real time across the world for people from other cultures and contexts to consume. We are seeing more artists, educators, technologists, and scientists embrace technology as an explicit form of experimentation and expression within the arts. In the Arts and Technology Teach-Out, we explore how technology helps expand the definition of art and how art unites digital and physical communities as well as drives innovation. You will learn from experts across different artistic mediums and disciplines, as we explore the role of technology to enhance art and the ways technology also poses unanswered questions and challenges.</p>

<p>We will explore the following questions:</p>

<ul style=""list-style-type: disc;margin-left: 1em;line-height: 1.6em;"">

<li>How does art impact technology, and inversely, how does technology impact art?</li>

<li>What are the most pressing issues facing the arts today as it relates to technology?</li>

<li>How has the way in which we create, share, and experience art changed with the introduction of new technologies?</li>

<li>How is art meant to be experienced? In person, online or in books? At a museum, in one’s home or out on the streets? Alone or with a crowd? Intellectually or emotionally? In some other way entirely?</li>

<li>How has technology impacted the way we teach and fund arts education?</li>

</ul>",teachout
Arts and Technology Teach-Out,"<p>From the invention of instruments and musical notation to the printing press, technology enhances our ability to create, share, and experience art.</p>

<p>Due to rapid advances in technology, for the first time in history, creators can distribute their work globally and in real-time.</p>

<p>We’re seeing artists, educators, technologists, and scientists embrace technology as an explicit form of experimentation and expression within the arts.</p>

<p>On this Teach-Out, you’ll hear from experts across the artistic spectrum on how technology not only enhances art but also poses unanswered questions and challenges.</p>

<p>We will explore the following questions:</p>

<ul style=""list-style-type: disc;margin-left: 1em;line-height: 1.6em;"">

<li>How does art impact technology, and inversely, how does technology impact art?</li>

<li>What are the most pressing issues facing the arts today as it relates to technology?</li>

<li>How has the way in which we create, share, and experience art changed with the introduction of new technologies?</li>

<li>How is art meant to be experienced? In person, online or in books? At a museum, in one’s home or out on the streets? Alone or with a crowd? Intellectually or emotionally? In some other way entirely?</li>

<li>How has technology impacted the way we teach and fund arts education?</li>

</ul>",teachout
Arts and Technology Teach-Out,"<h2 id=""discover-how-the-arts-and-technology-connect"">Discover how the arts and technology connect</h2>

<p>From the invention of instruments and musical notation to the printing press, technology enhances our ability to create, share, and experience art.</p>

<p>Due to rapid advances in technology, for the first time in history, creators can distribute their work globally and in real-time.</p>

<p>We’re seeing artists, educators, technologists, and scientists embrace technology as an explicit form of experimentation and expression within the arts.</p>

<p>On this Teach-Out, you’ll hear from experts across the artistic spectrum on how technology not only enhances art but also poses unanswered questions and challenges.</p>

<p>This Teach-Out is designed for anyone interested in learning more about the intersection of art and technology.</p>

",teachout
Assessing and Improving Community Health,"This course is intended to serve as an introduction to population health from both the vantage point of both public health and healthcare. We will examine the key components of community health needs assessments, how they are used, and how to compare population health assessments across subpopulations and time. We will also explore the epidemiological sources and criteria by which to select high quality data sources to estimate population health indicators and to select evidence-based interventions to improve population health. Finally, we will design multi sector collaborations that support the phases of population health improvement.

As a survey of the population health, the course provides an overview for students wishing no more than an introduction to the field, as well as good grounding for students who wish to pursue additional coursework in population health.

After taking this course, you will be able to:
- Explain differences between population health assessments for public health and healthcare.
- Outline the key components of community health needs assessments (CHNA).
- Compare how public health and healthcare will use a CHNA to improve population health.
- Identify key population health indicators for social determinants of health.
- Identify key population health indicators for mental health and opioid abuse.
- Categorize data sources by epidemiologic criteria.
- Analyze differences between subpopulations and across time trends.
- Formulate multi sector collaborations that support population health improvement.
- Outline a plan for population health improvement.
- Evaluate evidence-based interventions based on epidemiologic criteria and community suitability.",course
ASU MasterTrack Onboarding Course,This is a private course for the students of [PROGRAM]. The course provides an overview of the program and important steps for students to take in order to be successful.,course
"Augmented Reality, Virtual Reality, and Mixed Reality: Opportunities and Issues Teach-Out","This Teach-Out examines the present and possible futures of Augmented Reality (AR), Mixed Reality (MR), and Virtual Reality (VR) through conversations with leading experts and practitioners in this ever-evolving world of digital interfaces. In this Teach-Out, we explore opportunities of these emerging technologies in domains ranging from medicine and nursing, to landscaping and architectural design, to multimedia and entertainment, to education and research. We also discuss dark patterns and new challenges associated with these new interfaces, such as authenticity, accessibility, and privacy.
. 
We invite you to join this conversation about these emerging technologies that blur the line between reality and computer-generated sensory experiences. This​​ Teach-Out will examine broader questions, such as: W​hat are these new technological breakthroughs? What are practical applications of AR, MR, and VR to users’ everyday lives? What are possible directions for future AR, MR, and VR interfaces, and what are the important issues to consider? 

This Teach-Out investigates the differences between AR, MR, and VR, and discusses a broad range of implications for our daily lives. It also explores future applications of these technologies across a range of domains.


A Teach-Out is:

-an event – it takes place over a fixed, short period of time

-an opportunity – it is open for free participation to everyone around the world

-a community – it will be joined by a large number of diverse individuals

-a conversation – an opportunity to give and take ideas and information from people

The University of Michigan Teach-Out Series provides just-in-time community learning events for participants around the world to come together in conversation with the U-M campus community, including faculty experts. The U-M Teach-Out Series is part of our deep commitment to engage the public in exploring and understanding the problems, events, and phenomena most important to society.

Teach-Outs are short learning experiences, each focused on a specific current issue. Attendees will come together over a few days not only to learn about a subject or event but also to gain skills. Teach-Outs are open to the world and are designed to bring together individuals with wide-ranging perspectives in respectful and deep conversation. These events are an opportunity for diverse learners and a multitude of experts to come together to ask questions of one another and explore new solutions to the pressing concerns of our global community. Come, join the conversation!

Find new opportunities at Teach-Out.org.",teachout
Becoming a Social Entrepreneur: Getting Started,"Do you have an idea that could help solve a societal problem? Are you wondering if starting a social enterprise is the best way to go forward? You are thinking about becoming a social entrepreneur!

In this course, you’ll critically examine what makes for a good idea, and whether that idea requires starting a new business. You’ll craft a personal immersion plan while considering different ways to create impact. You’ll explore the personal challenges and connections to your life’s purpose before deciding to commit to becoming a social entrepreneur.

Each week, you’ll see and hear from 11 real-life social entrepreneurs, working around the world, and sharing the lessons they’ve learned as well as the mistakes they’ve made and how you can overcome them. Among their experiences are: providing clean water in India and the Dominican Republic, warming premature babies without incubators, improving education in Africa and Detroit, and providing affordable fresh food to low-income residents of Los Angeles. Ultimately, you’ll be able to decide whether your idea is necessary for the world, and if starting a social enterprise is the right path for you. This course is based on the book “Becoming a Social Entrepreneur: Starting Out, Scaling Up and Staying True” by Michael Gordon.",course
Beyond the Sustainable Development Goals (SDGs): Addressing Sustainability and Development,"We’re excited you’re here! This course, “Beyond the Sustainable Development Goals (SDGs): Addressing Sustainability and Development,” is the first course in the Sustainability and Development MasterTrack® Certificate, but you can also take this course as a stand-alone learning opportunity. 

Sustainability and development pose unprecedented challenges as human societies grow and seek to ensure future wellbeing and prosperity. In this course, we’ll focus on addressing the twin challenges of sustainability and development with actionable knowledge for innovating solutions to the world’s most pressing problems like climate change, poverty and inequality, and biodiversity loss and ecosystem degradation. Rather than sustainability being a qualifier for development (e.g. sustainable development), we conceptualize Sustainability and Development as co-equal fields of inquiry and action that seek to build bridges between the natural, social and applied sciences and the humanities. When sustainability and development are placed on an equal footing, it requires us to think more explicitly about the trade-offs, co-benefits and synergies between them, which we will be exploring in depth in each week.

Throughout the course, you will be introduced to the theoretical currents in Sustainability and Development, and will garner an in-depth understanding of the United Nations’ 17 Sustainable Development Goals (SDGs). We will also consider the methods and skills necessary for designing innovative solutions to sustainability and development problems through the emerging field of Sustainability Science.

In this course, we will explore three of the most pressing challenges undergirding the  Sustainable Development Goals (SDGs) including climate change, poverty and inequality, and ecosystem degradation and biodiversity loss, with case studies to guide and challenge our thinking. In the final week of the course, we will discuss the trade-offs, co-benefits and synergies between these challenges, especially as they relate to designing innovative solutions for achieving  our sustainability and development goals.

By the end of this course, you will be able to:
1. Understand and explain the world’s most pressing problems with a specific focus on poverty & inequality, ecosystem degradation and biodiversity loss, and climate change.
2. Critically analyze the Sustainable Development Goals (SDGs) and their relationship to the world’s most pressing problems.
3. Use frameworks and evidence necessary to develop solutions.
4. Assess relevant solutions that would help realize the SDGs and at the same time solve the pressing problems. 
5. Apply skills learned to implement solutions.",course
Beyond the Sustainable Development Goals (SDGs): Addressing Sustainability and Development,"<p>We’re excited you’re here! This course, “Beyond the Sustainable Development Goals (SDGs): Addressing Sustainability and Development,” is the first course in the upcoming <a href=""https://online.umich.edu/series/sustainability-and-development-mastertrack-certificate/"">Sustainability and Development MasterTrack Certificate</a> program (Fall 2020), but you can also take this course as a <a href=""https://online.umich.edu/courses/beyond-the-sustainable-development-goals-addressing-sustainability-and-development/"">stand-alone learning opportunity</a>.</p>

<p>Sustainability and development pose unprecedented challenges as human societies grow and seek to ensure future wellbeing and prosperity. In this course, we’ll focus on addressing the twin challenges of sustainability and development with actionable knowledge for innovating solutions to the world’s most pressing problems like climate change, poverty and inequality, and biodiversity loss and ecosystem degradation. Rather than sustainability being a qualifier for development (e.g. sustainable development), we conceptualize Sustainability and Development as co-equal fields of inquiry and action that seek to build bridges between the natural, social and applied sciences and the humanities. When sustainability and development are placed on an equal footing, it requires us to think more explicitly about the trade-offs, co-benefits and synergies between them, which we will be exploring in depth in each week.</p>

<p>Throughout the course, you will be introduced to the theoretical currents in Sustainability and Development, and will garner an in-depth understanding of the United Nations’ 17 Sustainable Development Goals (SDGs). We will also consider the methods and skills necessary for designing innovative solutions to sustainability and development problems through the emerging field of Sustainability Science.</p>

<p>In this course, we will explore three of the most pressing challenges undergirding the  Sustainable Development Goals (SDGs) including climate change, poverty and inequality, and ecosystem degradation and biodiversity loss, with case studies to guide and challenge our thinking. In the final week of the course, we will discuss the trade-offs, co-benefits and synergies between these challenges, especially as they relate to designing innovative solutions for achieving  our sustainability and development goals.</p>

<p>By the end of this course, you will be able to:</p>
<ol>
<li><p>Understand and explain the world’s most pressing problems with a specific focus on poverty & inequality, ecosystem degradation and biodiversity loss, and climate change.</p></li>
<li><p>Critically analyze the Sustainable Development Goals (SDGs) and their relationship to the world’s most pressing problems.</p></li>
<li><p>Use frameworks and evidence necessary to develop solutions.</p></li>
<li><p>Assess relevant solutions that would help realize the SDGs and at the same time solve the pressing problems.</p></li> 
<li><p>Apply skills learned to implement solutions.</p></li>
</ol>",course
Big Ideas in Programming: Expressing Yourself with Python,"<h2 id=""learn-the-python-basics-you-need-to-create-the-content-and-projects-you-want"">Learn the Python basics you need to create the content and projects you want</h2>

<p>Coding and programming allow better work performance, across diverse professions. If you want to discuss ideas with programming professionals or develop the code yourself, you need to know the basics.</p>

<p>Python is a powerful programming language, and mastering Python basics is the ideal way to understand and use programming concepts. With this exceptional four-week course from the University of Michigan, you can get started on doing just that.</p>

<h2 id=""harness-python-programmings-big-ideas"">Harness Python programming’s big ideas</h2>

<p>The big ideas in programming are the building blocks that allow you to create large, interesting, and useful programs. Mastering these programming concepts (variables, loops, strings, conditionals, and functions) and data structures (lists, tuples, and dictionaries) in Python will allow you to really express yourself in the digital space.</p>

<h2 id=""develop-a-wide-array-of-python-skills"">Develop a wide array of Python skills</h2>

<p>The creative coding/programming skills that you acquire in this Python course will allow you to design and produce personalised stories, filter and transform data, use code visualisers, generate art, predict program output, and write better code that works smarter, not harder.</p>

<p>You can expect plenty of interactive practice, engaging assignments, and immediate feedback. This allows you to check your understanding at every step of the way, giving you the chance to really develop your confidence and skill.</p>

<h2 id=""the-best-way-to-learn-python"">The best way to learn Python</h2>

<p>Convened by Barbara Ericson, Assistant Professor in the University of Michigan’s School of Information, this course is the ideal way to master Python basics. With her expertise and innovative ideas, you’ll enjoy the learning experience as much as you benefit from it.</p>

<p>This course is designed for anyone interested in learning Python.
Whether you want to discuss programming with other professionals, teaching others to code or use the language to do your own creative coding, this is the Python course for you!</p>

",course
Biodiversity and Ecosystem Services,"<p>Across the world, scholars, practitioners and advocates for biodiversity conservation are wrestling with how to maintain and enhance biodiversity without adversely affecting local and indigenous peoples. Various approaches have been tried including, most recently, offering incentives for conservation. Generally falling under the rubric of payments for ecosystem services, this approach has yielded various outcomes depending on spatial, social, political and ecological contexts. In this class, we will explore these contexts and outcomes based on a number of case studies.</p>",course
Black Performance as Social Protest,"<h2 id=""explore-the-history-of-social-protest-through-black-performance"">Explore the history of social protest through Black performance</h2>

<p>Black performance and social activism have been a model for protest globally. It has enriched and activated cries for justice in multiple contexts.</p>

<p>This course will help you expand your understanding of Black performance as social protest and its active effects on performance and protest today.</p>

<h2 id=""engage-with-artistic-protests-across-key-historical-frames"">Engage with artistic protests across key historical frames</h2>

<p>The arts are a potent way of responding to issues of injustice. From slavery and lynching to incarceration and disenfranchisement, Black performance has resisted oppression across several historical frames.</p>

<p>On this course, you’ll read, watch, and listen to performances that illustrate various forms of artistic protest from the African Diaspora. You’ll cover chants of the enslaved and dances of heritage, before moving on to look at early 20th century migrations and United States protests.</p>

<h2 id=""discover-the-role-of-performance-in-the-black-lives-matter-movement"">Discover the role of performance in the Black Lives Matter movement</h2>

<p>You’ll identify ways in which patterns of resistance from the past contribute to ongoing social justice movements, such as Black Lives Matter.</p>

<p>After investigating the history of Black performance as social protest, you’ll produce a reflective manifesto for achieving racial equity through performance.</p>

<h2 id=""learn-from-experts-in-african-american-studies-from-the-university-of-michigan"">Learn from experts in African American studies from the University of Michigan</h2>

<p>This course is led by three professors at the school of Music, Theatre, and Dance at the University of Michigan, all of whom teach performance history as well as having lived experiences as Black performers.</p>

<p>They’ll each guide you through the importance and impact of Black performance in social protest, highlighting the intersections between the arts and social justice.</p>

<p>This course is designed for anyone looking to understand the social, political, and historical contexts of the African American experience.</p>

<p>It will be of special interest to global artists and performers looking to develop a social justice lens for their work, as well as for activists seeking to incorporate the arts into their social justice work.</p>

",course
Blockchain and Cryptocurrency Explained,"The sudden rise in the value of Bitcoin and other cryptocurrencies, and its subsequent decline, focused the world’s attention on cryptocurrencies as a means of payment. Blockchain technology powers Bitcoin and has been hyped as the next new, transformative technology.

In this course, we first discuss the technical underpinnings of blockchain and review key concepts such as decentralization and consensus algorithms.

We then examine blockchain as an asset and review the dynamics of the cryptocurrency markets.

Finally, we examine blockchain as a business solution, with a focus on understanding business cases in which blockchain does and does not make sense.",course
