Crse Lst,Crse Lst Descr,Eff Date,Crse Lst Effective Status,Crse Seq,Course ID,Subject,Catalog Nbr,title,WildCard,Wildcard Acad Group,Wildcard Subject,Wildcard Catalog,Valid Beg,Valid End,Term Code,Term Descr,Class Assoc,Topic ID,Req Designation,subject,course
8140,1997 Presumption of Proficiency - Courses added after Winter 2011 (2 of 2),1997-09-07,A,14,16886,LATIN,449,Roman Satire,N,,,,,,,,0,0,,LATI,LATI 449
8140,1997 Presumption of Proficiency - Courses added after Winter 2011 (2 of 2),1997-09-07,A,15,8612,LATIN,473,The Age of Nero,N,,,,,,,,0,0,,LATI,LATI 473
8140,1997 Presumption of Proficiency - Courses added after Winter 2011 (2 of 2),1997-09-07,A,16,11111,LATIN,514,Tacitus-Annals,N,,,,,,,,0,0,,LATI,LATI 514
8140,1997 Presumption of Proficiency - Courses added after Winter 2011 (2 of 2),1997-09-07,A,25,5660,MEMS,440,Postclassic Latin I,N,,,,,,,,0,0,,MEM,MEM 440
8140,1997 Presumption of Proficiency - Courses added after Winter 2011 (2 of 2),1997-09-07,A,17,42029,PORTUG,235,Advanced Portuguese,N,,,,,,,,0,0,,PORTU,PORTU 235
8140,1997 Presumption of Proficiency - Courses added after Winter 2011 (2 of 2),1997-09-07,A,28,50505,PORTUG,281,Port Rom Lang Spkrs,N,,,,,,,,0,0,,PORTU,PORTU 281
8140,1997 Presumption of Proficiency - Courses added after Winter 2011 (2 of 2),1997-09-07,A,18,7067,RCLANG,320,French Rdgs,N,,,,,,,,0,0,,RCLAN,RCLAN 320
8140,1997 Presumption of Proficiency - Courses added after Winter 2011 (2 of 2),1997-09-07,A,19,7068,RCLANG,321,German Reading,N,,,,,,,,0,0,,RCLAN,RCLAN 321
8140,1997 Presumption of Proficiency - Courses added after Winter 2011 (2 of 2),1997-09-07,A,20,21200,RCLANG,323,Russ Readings,N,,,,,,,,0,0,,RCLAN,RCLAN 323
8140,1997 Presumption of Proficiency - Courses added after Winter 2011 (2 of 2),1997-09-07,A,21,7069,RCLANG,324,Span Readings,N,,,,,,,,0,0,,RCLAN,RCLAN 324
8140,1997 Presumption of Proficiency - Courses added after Winter 2011 (2 of 2),1997-09-07,A,22,42488,ROMLING,333,Techn Pronunciation,N,,,,,,,,0,0,,ROMLIN,ROMLIN 333
8140,1997 Presumption of Proficiency - Courses added after Winter 2011 (2 of 2),1997-09-07,A,24,40666,ROMLING,487,Studies Hisp Ling,N,,,,,,,,0,0,,ROMLIN,ROMLIN 487
8140,1997 Presumption of Proficiency - Courses added after Winter 2011 (2 of 2),1997-09-07,A,23,42489,SCAND,325,Third Year Swedish,N,,,,,,,,0,0,,SCAN,SCAN 325
8140,1997 Presumption of Proficiency - Courses added after Winter 2011 (2 of 2),1997-09-07,A,26,44079,SPANISH,280,Conv Sp/LAm Film,N,,,,,,,,0,0,,SPANIS,SPANIS 280
8140,1997 Presumption of Proficiency - Courses added after Winter 2011 (2 of 2),1997-09-07,A,27,47692,SPANISH,291,Intr Catalan Lg/Cult,N,,,,,,,,0,0,,SPANIS,SPANIS 291
8140,1997 Presumption of Proficiency - Courses added after Winter 2011 (2 of 2),1997-09-07,A,22,42488,SPANISH,333,Techn Pronunciation,N,,,,,,,,0,0,,SPANIS,SPANIS 333
8140,1997 Presumption of Proficiency - Courses added after Winter 2011 (2 of 2),1997-09-07,A,24,40666,SPANISH,487,Studies Hisp Ling,N,,,,,,,,0,0,,SPANIS,SPANIS 487
