title,description,primary_instructor,subject,catalog_number,label_term,section,sub_title,credits,requirements_distribution,other,advisory_prerequisites,other_course_info,repeatability,consent
Selected Topics in Black World Studies,"The mini-course seminars will introduce students to a range of issues and experiences related to the topics and identity categories of specialized topics in Afroamerican, African, and/or Caribbean studies. The courses will explore and analyze major aspects of the subject matter:

  historical contexts for the interactions of African and the diaspora; 
  personal experiences; and
  meanings and effects. 

This is a combined short lecture/discussion course that is designed to function as an introduction to the subject matter. Students at all levels are welcome to enroll.Course Requirements:The assignments for this course include four short papers, a presentation, and active participation in class discussion. 

 Reading Journal: 

40% Flash Research 
 Project& Presentation: 40% 
 Participation: 20% 
Intended Audience:	This course is geared towards students who have interests in Afroamerican, African, and/or Caribbean studies. The course meets the 200-level area course requirement for DAAS majors and minors.Class Format:	Seminar","Boisseron,Benedicte M",AAS,290,"Fall 2021, ",Section 006, - The Black Memoir,2,,Minicourse,,,May not be repeated for credit.,
Race and Ethnic Relations,"This course examines the central tensions underlying race and ethnic relations in the United States. For more than sixty years, sociologists have been preoccupied with the study of inter-group relations, assimilation, and racial and ethnic conflict. Indeed these issues have grown more complex and nuanced as the United States becomes more racially and ethnically diverse.  Our goal is to examine the social processes that facilitate or impede inter-group relations. We will devote attention to:

 theoretical debates in the conceptualization and analysis of race and ethnicity 
  developing a historical understanding of the antecedents of society’s most pressing social problems
  analyzing how various racial and ethnic groups construct and use their social identity.
","Lacy,Karyn R",AAS,303,"Fall 2021, ",Section 001,,4,"SS, RE",,An introductory course in Sociology or AAS 201.,(African-American Studies).,May not be repeated for credit.,
"Gender and Immigration:  Identity, Race, and Place"," Refugees, migrants, immigrants, diaspora groups, and transnational actors are all terms that describe people who undertake different acts of mobility or travel across borders to seek refuge. But how are these terms different? This course focuses on these various acts of mobility to show how they are labeled differently under different political and social circumstances. We examine the gendered cultural and political meanings people and governments give to mobility, border-crossing, and displacement in this turbulent time in the era of globalization and transnationalism.

 

In this course we will also emphasize the experiences of both old and new generations of immigrants in order to understand the historical context of migration, globalization, and the processes involved in the imagination of place and nation building. One important lesson that students learn in this class is that the political processes that define the often-conflated meanings attached to the refugee, immigrant, and diaspora population cannot be divorced from histories of nationalism and transnationalism and their deeply rooted constructions in gender, race, ethnic, and class relations. Race, ethnicity, and sexism are significant components, and the course addresses them through cross-cultural ethnographies, media reports, documentary films, art, and other texts to explain how citizens and non-citizens are marked differently based on both legal and cultural terminologies.

 

Students also learn that systems of racialization and discrimination don’t just happen at the moment of border-crossing or when refugees, migrants, and diaspora populations settle in new homelands; these modes of exclusion are also experienced in various forms in their countries of origin. Some of the forces that lead to situations of refugee-ness, migration, and dispersal include religious, ethnic, gender, racial, and political discrimination encountered at home.  The course examines the different forms of these discriminations and how refugee, immigrant, and diaspora communities encounter them, live them, negotiate them, and resist them through their own cultural practices and other strategies of activism.

 

We will particularly explore how questions of power, race, and class intersect to shape refugees and immigrants’ daily struggles for justice and human rights. How do refugees and immigrants attempt to create and “imagine” their own social world with reference to their new locations and their homelands? Our readings and discussion will focus on cultural and theoretical perspectives from the social sciences, specifically anthropology, history, and literature.  And we will take as examples the ethnographies and narratives of immigrants from different parts of the world, specifically Africa, Asia, Latin America, and the Middle East. The seminar is intended for junior and senior undergraduates but sophomores are also welcome.","Fadlalla,Amal Hassan",AAS,304,"Fall 2021, ",Section 001," - Refugees of Unjust Worlds: Globalization, Gender and Nation",3,SS,,The seminar is intended for junior and senior undergraduates but sophomores are also welcome.,,May not be repeated for credit.,With permission of instructor.
Global Health in African Contexts,"This course examines ""global health"" in African contexts. We shall explore African understandings of illness and health; traditions of non-medical healing; the history of Western medicine in Africa; the current state of medical systems; and the challenges of major infectious epidemics such as AIDS, Malaria, and Tuberculosis and well as everyday health challenges arising from changing lifestyles and poverty.","Ashforth,Adam Philip",AAS,309,"Fall 2021, ",Section 001, - Global Health in Africa,3,,,,,May not be repeated for credit.,
Atlantic Slavery and the Making of the Modern World,"This upper-level seminar will examine systems of unfree labor in Africa and the Americas during the era of the Atlantic Slave Trade. Beginning with European colonization of the Americas and ending with the emancipations of the nineteenth century, the course will explore the labor and cultural practices of enslaved people as well as the evolution of slavery as a legal and economic institution. Although slavery was a global institution, we will pay special attention to the way that the organization of labor and the heritage of slavers and slaves created different societies in different parts of the Americas. We will also consider longstanding debates in the history of slavery such as the origins of racial slavery and forms of slave resistance. And throughout the course we will always consider the legacy of Atlantic slavery and how it continues to unfold in the problems and promises of our world today.","Spooner,Matthew Patrick",AAS,310,"Fall 2021, ",Section 001,,3,"HU, RE",,,,May not be repeated for credit.,
Advanced Swahili I,"While Intermediate Swahili focuses on daily life through an emphasis on conversational and communicative approaches, this course addresses advanced issues related to culture, literature, politics, society, sociological studies, and gender. Samplings of East African films are viewed occasionally to help students improve comprehension and analytical skills. The overall intended learning objective is to enable students to critically analyze Swahili texts and discourse, and express ideas in Swahili at this level. The instructor uses situational dialogues, folk tales, songs and written literature to teach the students about societal issues and values. To reinforce the language learning and its daily uses, students undertake an independent study.","Mpesha,Nyambura",AAS,315,"Fall 2021, ",Section 001,,3,,,AAS 216.,,May not be repeated for credit.,
"Introduction to Environment Politics:  Race, Class, and Gender","This course introduces students to global environmental politics, justice and development. This course will explore environmental issues around the world and the relatedness of nature to politics, development and culture. We will address historically unique social form that presents special challenges to our understanding of environmental politics, gender, race and culture by looking at case studies from around the world. Among the questions that we will examine are the following: How have local and global histories, memories, practices, values, gender, race and identities that derive from our understanding of politics intersect with nature? Are there environmental issues that are also issues of race, class and gender?  For example, are there particular forms of knowledge and subjectivity that intersect or interact with race and gender difference, or ideas about civilization and primitivity that could be seen as distinctive instruments of environmental rule?","Adunbi,Omolade",AAS,322,"Fall 2021, ",Section 001," - Introduction to Environmental Politics: Race, Class and Gender",4,"ULWR, SS, RE",,,(Cross-Area Courses).,May not be repeated for credit.,
Black Feminist Thought and Practice,"What is Black Feminism? In this course, we will explore the history of Black women’s gendered and racial politics in the United States and, in particular, how their beliefs and experiences have differed from other groups. How have Black women pushed back against and attempted to reshape traditional, Eurocentric, “white feminist” politics? How have Black Feminist responses to racism diverged from and challenged mainstream and Black masculinist political scripts? We will explore these questions as well as representations of Black women’s sexuality and political activism. Course readings are drawn from a variety of disciplines and time periods with the goal of exposing students to the history of Black Feminist thought and the breadth of Black Feminist scholarship, activism, and methodologies. By the end of the semester, students will be conversant in the major concepts of Black Feminism and Black Women’s Studies and have developed the analytical tools to understand how race, gender, and class interact to produce the unique experiences of Black women in the United States.","Strongman,Saraellen",AAS,323,"Fall 2021, ",Section 001, - Black Feminism(s),3,,,,,May not be repeated for credit.,
Advanced Yoruba I,"This course further develops students' ability to speak, listen, read and write a sub-Saharan African language (Yoruba) at the Advanced level.","Ayoola,Gabriel Olujide",AAS,325,"Fall 2021, ",Section 001,,4,,,AAS 226 - Intermediate Yoruba II.,,May not be repeated for credit.,
The World of the Black Child,"This lecture course has three objectives: 1. to introduce key areas of research and theory about the socialization and development of African American children 2. to facilitate critical thinking about this body of literature 3. to explore how racial discrimination and social policies shape the cultural, family, community, peer, and school contexts within which low-income and middle-income African American children develop.  Various domains of development are examined (e.g., racial identity, self-esteem, academic motivation and achievement, physical health).  The course reflects an emphasis on both positive and problematic development, and gives attention to social policies and interventions that can potentially improve the lives of African American children and their families. Class costs for students: $1-$50.","McLoyd,Vonnie C",AAS,331,"Fall 2021, ",Section 001,,3,,,One course in Psychology or Afro-American and African Studies.,(Cross-Area Courses).,May not be repeated for credit.,
Literature in African History,"This course is about the history of African literature. The reading list includes some of the founding works in the field. It also includes lesser-known texts: novels published serially in West African newspapers; editorial writings from early Christian converts; a play from a beleaguered Ugandan author. We’ll be studying how African writers, in their creative work, participated in the political and moral arguments of their time. Literature was not an escape from real life. African writers did work in their texts: they conjured up audiences, fired them with a shared vision of the past and the future, and set them on a forward path together. By studying the social and political work that African writers did, this course explores the intersection of literature and history, and of imagination and politics. The course is organized around three national literatures: the literatures of Nigeria, of Kenya, and of South Africa. In each of the case studies we’ll be tracing the historical development of a particular literary tradition, studying how authors commented on the changing politics of their homelands. We’ll also be exploring a set of cross-cutting themes that draw the three case studies together. Some of these texts define and defend a national community. Other texts depict the crisis of urban life in twentieth century Africa. In the whole of our work together we’ll be asking a set of questions about the vocation of the literary writer. What were these authors doing in their own time? What was literature good for?","Peterson,Derek R",AAS,346,"Fall 2021, ",Section 001,,3,"HU, RE",,,,May not be repeated for credit.,
Race and Identity in Music,"This course explores the parameters of racial and ethnic identities in music. From the discourse surrounding exoticism and Orientalism, to the effects of evocative instrumentation, the use of dialect, and foreign subjects, the focus of this class is to understand how racial and ethnic difference can be portrayed musically. Musical case studies will be drawn from the nineteenth century through the present with a strong emphasis on the genre of opera.  Central questions to be raised are: how is racial/ethnic difference expressed musically? Who is representing whom? What is the intersection between the original performing context and our understanding of these works today? This course encourages interdisciplinary dialogue. Readings will be drawn from post-colonial and cultural studies as well as musicology.","Andre,Naomi A",AAS,354,"Fall 2021, ",Section 001, - Race and Identity in Music,3,"HU, RE",,,,May not be repeated for credit.,With permission of instructor.
Democracy and Development in Africa,"Countries in contemporary sub-Saharan Africa vary greatly in their quality of democracy, the strength of the state, and levels of economic development. This course investigates the deep historical and more contemporary explanations for these diverse political and economic outcomes, through case studies of political development in particular countries, analyses of broader patterns for the continent as a whole, and consideration of Africa in the context of the broader developing world. The course will draw on works by political scientists, anthropologists, historians, economists, and journalists. Group discussions will be part of the course.","Pitcher, Anne  ",AAS,356,"Fall 2021, ",Section 001,,4,,,,,May not be repeated for credit.,
Environmental Governance and African Development,"Environmental sustainability and economic development are two of the most pressing issues of our time. We will explore the institutional structures that mediate human interactions with the environment in Africa, and consider how different approaches to natural resource extraction and use have shaped economic and ecological outcomes across the continent throughout history.","Klein,Brian",AAS,357,"Fall 2021, ",Section 001,,3,SS,,,,May not be repeated for credit.,
Topics in Black World Studies,"This course will introduce students to historical narratives that center on same-gender intimacies and gender non-conformity in African Diasporic communities. Students will survey the growing body of interdisciplinary scholarship on such topics and interrogate how black queer cultural workers craft(ed) historical narratives (via films, poems, plays, and fiction) to (re)imagine pasts and possible futures.","Jones, Jennifer Dominique",AAS,358,"Fall 2021, ",Section 001, - Black Queer Historical Inquiries,3,HU,,,,May be repeated for a maximum of 6 credit(s).  ,
Topics in Black World Studies,"What does it mean to be “black” in Jewish culture? In this course, we explore how Jewish societies have understood and engaged with Blackness and Black peoples over the ages. Delving into the parallel struggles of Blacks and Jews, we ask: How does the history of slavery intersect with the status of Jews in the Middle East? What connections can be drawn between the civil rights struggles in Israel and America? Throughout the course, we discuss the flexible and interrelated nature of the categories of Blackness and Jewishness across different historical, geographical, and temporal contexts. Themes explored include black and Jewish anti-colonial thought; Ethiopian and North African Jewish history; race and racism within the Middle East. By the end of the course, students will better understand how diasporic and racial identities are constructed and reconstructed over time and space.","Roby,Bryan Karle",AAS,358,"Fall 2021, ",Section 002,,3,HU,,,,May be repeated for a maximum of 6 credit(s).  ,
Topics in Black World Studies,"The course uses multi-generic texts from the African continent to trace the development of African literature. It examines how literature responds to issues such as cultural change, colonialism, nationalism and neo-colonialism. The course also explores the influences of western literary forms while recognizing that oral literary forms of literature continue to impact on this written literature.","Mpesha,Nyambura",AAS,358,"Fall 2021, ",Section 003, - Learning Cult Afr Children Lit,3,,,,,May be repeated for a maximum of 6 credit(s).  ,
